Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Fluktuasi_Tertinggi,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7
7,2023-03-08,Maret,M2,-1.488878614724669,0.04347,-1.2680955539278642,2.17991784021937,1.823810562458661,1.3611676684488003,-0.19235210947772105,0.31458863212805593
8,2023-03-15,Maret,M3,-1.06296916614032,0.034448,-1.488878614724669,-1.2680955539278642,2.17991784021937,1.823810562458661,-1.273314444930951,0.35416446553658165
9,2023-03-22,Maret,M4,-0.831355912065689,0.0211226,-1.06296916614032,-1.488878614724669,-1.2680955539278642,2.17991784021937,-1.1277345643102261,0.10194240346689847
10,2023-03-29,Maret,M5,-0.8525970058983603,0.1026984,-0.831355912065689,-1.06296916614032,-1.488878614724669,-1.2680955539278642,-0.9156406947014565,-0.2143096928684102
11,2023-04-01,April,M1,-1.7856442744828769,0.1117452,-0.8525970058983603,-0.831355912065689,-1.06296916614032,-1.488878614724669,-1.1565323974823087,-0.7299460981457727
12,2023-04-08,April,M2,-1.7856442744828769,0.0901961,-1.7856442744828769,-0.8525970058983603,-0.831355912065689,-1.06296916614032,-1.474628518288038,-1.2964549716746652
13,2023-04-22,April,M4,-1.7856442744828769,0.0606073,-1.7856442744828769,-1.7856442744828769,-0.8525970058983603,-0.831355912065689,-1.7856442744828769,-1.370390503182524
14,2023-05-01,Mei,M1,0.18921529147024785,0.0,-1.7856442744828769,-1.7856442744828769,-1.7856442744828769,-0.8525970058983603,-1.127357752498502,-1.130662802297536
15,2023-05-08,Mei,M2,0.5080899334353575,0.0364878,0.18921529147024785,-1.7856442744828769,-1.7856442744828769,-1.7856442744828769,-0.3627796831924239,-0.9062257880724393
16,2023-05-15,Mei,M3,0.7180227660392546,0.1115178,0.5080899334353575,0.18921529147024785,-1.7856442744828769,-1.7856442744828769,0.47177599698162,-0.6848859769145902
17,2023-05-22,Mei,M4,1.2579376757510232,0.1351534,0.7180227660392546,0.5080899334353575,0.18921529147024785,-1.7856442744828769,0.8280167917418785,-0.3833810223932496
18,2023-05-29,Mei,M5,1.5362959621770784,0.2129071,1.2579376757510232,0.7180227660392546,0.5080899334353575,0.18921529147024785,1.1707521346557854,0.09118186855817255
19,2023-06-01,Juni,M1,1.655,0.0366568,1.5362959621770784,1.2579376757510232,0.7180227660392546,0.5080899334353575,1.4830778793093673,0.5827024791985835
20,2023-06-08,Juni,M2,1.649,0.040984,1.655,1.5362959621770784,1.2579376757510232,0.7180227660392546,1.6134319873923595,1.0733659469818517
21,2023-06-15,Juni,M3,1.644,0.0395459,1.649,1.655,1.5362959621770784,1.2579376757510232,1.6493333333333335,1.2811923339146734
22,2023-06-22,Juni,M4,1.071,0.1150448,1.644,1.649,1.655,1.5362959621770784,1.4546666666666666,1.3616080577096223
23,2023-07-01,Juli,M1,-0.02,0.0894427,1.071,1.644,1.649,1.655,0.8983333333333333,1.2561762339897289
24,2023-07-08,Juli,M2,0.115,0.0760726,-0.02,1.071,1.644,1.649,0.38866666666666666,1.0928994231681541
25,2023-07-15,Juli,M3,0.13,0.0670399,0.115,-0.02,1.071,1.644,0.075,0.892
26,2023-07-22,Juli,M4,0.093,0.0669665,0.13,0.115,-0.02,1.071,0.11266666666666665,0.6688571428571428
27,2023-08-01,Agustus,M1,-0.03,0.0244379,0.093,0.13,0.115,-0.02,0.06433333333333334,0.42899999999999994
28,2023-08-08,Agustus,M2,-0.737,0.0958266,-0.03,0.093,0.13,0.115,-0.22466666666666665,0.08885714285714286
29,2023-08-15,Agustus,M3,-0.888,0.0928191,-0.737,-0.03,0.093,0.13,-0.5516666666666666,-0.191
30,2023-08-22,Agustus,M4,-0.9,0.0859586,-0.888,-0.737,-0.03,0.093,-0.8416666666666667,-0.3167142857142857
31,2023-09-01,September,M1,-0.548,0.0,-0.9,-0.888,-0.737,-0.03,-0.7786666666666667,-0.4114285714285715
32,2023-09-08,September,M2,-0.6,0.0798555,-0.548,-0.9,-0.888,-0.737,-0.6826666666666666,-0.5157142857142858
33,2023-09-15,September,M3,-0.404,0.1095931,-0.6,-0.548,-0.9,-0.888,-0.5173333333333333,-0.5867142857142857
34,2023-09-22,September,M4,-0.37,0.1169109,-0.404,-0.6,-0.548,-0.9,-0.458,-0.6352857142857143
35,2023-10-01,Oktober,M1,0.101,0.0,-0.37,-0.404,-0.6,-0.548,-0.22433333333333338,-0.5155714285714286
36,2023-10-08,Oktober,M2,0.221,0.0958266,0.101,-0.37,-0.404,-0.6,-0.01600000000000003,-0.3571428571428572
37,2023-10-15,Oktober,M3,0.323,0.1408591,0.221,0.101,-0.37,-0.404,0.21499999999999997,-0.1824285714285714
38,2023-10-22,Oktober,M4,0.363,0.1764736,0.323,0.221,0.101,-0.37,0.3023333333333333,-0.05228571428571428
39,2023-11-01,November,M1,0.672,0.0,0.363,0.323,0.221,0.101,0.4526666666666667,0.12942857142857142
40,2023-11-08,November,M2,0.887,0.0752923,0.672,0.363,0.323,0.221,0.6406666666666667,0.3138571428571429
41,2023-11-15,November,M3,1.534,0.1904529,0.887,0.672,0.363,0.323,1.031,0.5858571428571429
42,2023-11-22,November,M4,2.0765035605101616,0.2060118,1.534,0.887,0.672,0.363,1.499167853503387,0.8680719372157374
43,2023-12-01,Desember,M1,2.0206197028465738,0.0,2.0765035605101616,1.534,0.887,0.672,1.8770410877855783,1.1251604661938193
44,2023-12-08,Desember,M2,2.414019502250426,0.034003,2.0206197028465738,2.0765035605101616,1.534,0.887,2.1703809218690537,1.4238775379438802
45,2023-12-15,Desember,M3,2.4141461216827196,0.0659748,2.414019502250426,2.0206197028465738,2.0765035605101616,1.534,2.2829284422599065,1.7168984124699829
46,2023-12-22,Desember,M4,2.288063549742958,0.0903766,2.4141461216827196,2.414019502250426,2.0206197028465738,2.0765035605101616,2.372076391225368,1.947764633861834
47,2024-01-01,Januari '24,M1,0.16620338812025182,0.0524864,2.288063549742958,2.4141461216827196,2.414019502250426,2.0206197028465738,1.6228043531819765,1.8447936893075843
48,2024-01-08,Januari '24,M2,-0.7461605869679175,0.0633677,0.16620338812025182,2.288063549742958,2.4141461216827196,2.414019502250426,0.5693687836317641,1.519056462597882
49,2024-01-15,Januari '24,M3,-1.6,0.201490174942329,-0.7461605869679175,0.16620338812025182,2.288063549742958,2.4141461216827196,-0.7266523996158886,0.9938416682392874
50,2024-01-22,Januari '24,M4,-2.137287863135782,0.24344209425331081,-1.6,-0.7461605869679175,0.16620338812025182,2.288063549742958,-1.4944828167012332,0.3998548730989508
51,2024-02-01,Februari '24,M1,-2.693635272842897,0.04721746185389363,-2.137287863135782,-1.6,-0.7461605869679175,0.16620338812025182,-2.1436410453262265,-0.32981009477152395
52,2024-02-08,Februari '24,M2,-2.327773348251924,0.03182989557830353,-2.693635272842897,-2.137287863135782,-1.6,-0.7461605869679175,-2.386232161410201,-1.0072271619050444
53,2024-02-15,Februari '24,M3,-1.962113808053843,0.0642216474674779,-2.327773348251924,-2.693635272842897,-2.137287863135782,-1.6,-2.3278408097162213,-1.614395355876016
54,2024-02-22,Februari '24,M4,0.35476908667028795,0.0941352964973247,-1.962113808053843,-2.327773348251924,-2.693635272842897,-2.137287863135782,-1.3117060232118265,-1.5874573989402965
55,2024-02-29,Februari '24,M5,1.4923093818723459,0.209758486026575,0.35476908667028795,-1.962113808053843,-2.327773348251924,-2.693635272842897,-0.038345113170403046,-1.2676759748202588
57,2024-03-08,Maret'24,M2,4.793116301067357,0.0496986378399769,4.5234306496495265,1.4923093818723459,0.35476908667028795,-1.962113808053843,3.6029521108630767,0.5971575700158362
58,2024-03-15,Maret'24,M3,4.48868801358844,0.210708888433251,4.793116301067357,4.5234306496495265,1.4923093818723459,0.35476908667028795,4.601744988101775,1.6232037537917416
59,2024-03-22,Maret'24,M4,3.923662580710431,0.260894725034705,4.48868801358844,4.793116301067357,4.5234306496495265,1.4923093818723459,4.40182229845541,2.516266029357792
60,2024-04-01,April'24,M1,-3.69,0.08600261452,3.923662580710431,4.48868801358844,4.793116301067357,4.5234306496495265,1.5741168647662906,2.2694251447940554
61,2024-04-15,April'24,M3,-3.38,0.1658758358,-3.69,3.923662580710431,4.48868801358844,4.793116301067357,-1.0487791397631896,1.7358867038411572
62,2024-04-22,April'24,M4,-3.43,0.1816,-3.38,-3.69,3.923662580710431,4.48868801358844,-3.5,1.032699649287965
63,2024-05-01,Mei'24,M1,1.58,0.06451612903,-3.43,-3.38,-3.69,3.923662580710431,-1.7433333333333334,0.6122095564808898
64,2024-05-08,Mei'24,M2,1.81,0.09593993299,1.58,-3.43,-3.38,-3.69,-0.013333333333333345,0.1860500848998388
65,2024-05-15,Mei'24,M3,2.08,0.09534518812,1.81,1.58,-3.43,-3.38,1.8233333333333335,-0.15804820275565268
66,2024-05-22,Mei'24,M4,1.89,0.09421114395,2.08,1.81,1.58,-3.43,1.9266666666666667,-0.4485714285714285
67,2024-05-29,Mei'24,M5,1.5,0.1325615336,1.89,2.08,1.81,1.58,1.8233333333333333,0.2928571428571428
68,2024-06-01,Juni'24,M1,-2.15,0.0486,1.5,1.89,2.08,1.81,0.4133333333333334,0.4685714285714286
69,2024-06-15,Juni'24,M3,-1.99,0.1213308298,-2.15,1.5,1.89,2.08,-0.8799999999999999,0.6742857142857144
70,2024-06-22,Juni'24,M4,-2.0,0.1198756012,-1.99,-2.15,1.5,1.89,-2.0466666666666664,0.1628571428571429
72,2024-07-08,Juli'24,M2,-1.19,0.09582659576,-1.16,-2.0,-1.99,-2.15,-1.45,-0.7285714285714285
73,2024-07-15,Juli'24,M3,-1.09,0.2328162843,-1.19,-1.16,-2.0,-1.99,-1.1466666666666665,-1.1542857142857144
74,2024-07-22,Juli'24,M4,-0.84,0.2766361649,-1.09,-1.19,-1.16,-2.0,-1.0399999999999998,-1.4885714285714287
75,2024-08-01,Agustus'24,M1,0.76,0.04804583838,-0.84,-1.09,-1.19,-1.16,-0.38999999999999996,-1.0728571428571427
76,2024-08-08,Agustus'24,M2,1.01,0.08561326348,0.76,-0.84,-1.09,-1.19,0.3100000000000001,-0.6442857142857142
